Transcript	Gene	log2fc	pvalue	FDR
XM_078027486.1	Il6r	0.8718017745390614	2.0857531243759288e-53	1.376680492213088e-51
XM_078020538.1	Elovl2	-1.3145205515488427	2.625135802767031e-53	1.725791469380828e-51
XM_078043269.1	Acy1	1.298389069792139	4.09212480293183e-53	2.6795298163959575e-51
XM_078022298.1	LOC101969732	0.9482856041838108	4.231565732644612e-53	2.759884037722085e-51
XM_013359429.4	Acy1	1.2955344562437632	4.333260256839956e-53	2.8150837597683513e-51
XM_040277270.2;XM_040277268.2	Dhtkd1	1.1652044983289778	5.150411861713733e-53	3.332821416868169e-51
XM_005319925.5	Ugdh	1.11644060513367	5.968122293840772e-53	3.846874451979163e-51
XM_040287675.2	Pklr	1.1258188352180167	2.1564536810703908e-52	1.3845775171728607e-50
XM_005320499.5	Tmem230	1.1516038045427228	2.4007283794040235e-52	1.5354425964552634e-50
XM_013362089.4	LOC101964310	2.99169284163059	2.8034337989374974e-52	1.7860795797786736e-50
NM_001301789.1;NM_001291632.1	Azin1	1.1608014889553775	3.961721520502741e-52	2.514321800377528e-50
XM_040293373.2;XM_013355850.4	Azin1	1.1586835261380253	7.61674030623894e-52	4.815472482499951e-50
XM_013355983.4	Tbrg4	1.2305052766164861	1.1324334204523927e-51	7.132169416368294e-50
XM_078020545.1	Adtrp	1.6309138568071302	1.7531122396491272e-51	1.099927949294686e-49
XM_005338436.5	Rnf103	1.4937437844517802	1.922114447308735e-51	1.2013943369333878e-49
XM_005319254.4	Tbrg4	1.225313194560597	3.587942029172966e-51	2.2341370348446457e-49
XM_078046219.1	Ube2d2	0.7443720388511404	3.8654363866718e-51	2.397878414153059e-49
XM_078017763.1	Myo1b	1.1798376287396328	4.5009787205791394e-51	2.7816722797107256e-49
XM_021722333.3	Tbrg4	1.2240083742095602	5.227113894569004e-51	3.2183808348613106e-49
XM_021731383.3;XM_040269413.2;XM_013361755.4	Per1	1.2303667833128937	7.880153372205315e-51	4.833844267463194e-49
XM_078016181.1	Nt5c2	0.8353489595094976	1.0053052612238729e-50	6.1439044872056024e-49
XM_078024236.1	Eef2k	1.412005552263377	1.2317493981733938e-50	7.500035726663901e-49
XR_005736606.2	Tbrg4	1.2191843763079226	1.259338833465685e-50	7.63983459228576e-49
